dep_var,cycle,size_decile,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
price_info,exp_1993Q1_2000Q4,7,37.219305771318616,28.914810629669123,1.2872055863692344,0.19869628374694015,,-19.453723062832864,93.8923346054701,823,371,8
price_info,exp_1993Q1_2000Q4,8,9.407864369603638,26.537196987251185,0.35451612972249097,0.7231878352565477,,-42.60504172540869,61.42077046461596,585,258,8
price_info,exp_1993Q1_2000Q4,9,-12.12295306528164,17.419961251922647,-0.6959230787005124,0.4867958848990057,,-46.26607711905003,22.020170988486747,729,212,8
price_info,exp_1993Q1_2000Q4,10,-12.938403284041923,22.803724871875676,-0.5673811342987712,0.5705465560924323,,-57.63370403291825,31.756897464834402,1724,319,8
price_info,exp_2002Q1_2007Q3,1,-61.40889628435972,51.04354194722456,-1.203068869081464,0.23538328415499454,,-161.45423850091987,38.636445932200424,97,28,23
price_info,exp_2002Q1_2007Q3,2,-7.40676590737342,8.305002282946452,-0.8918439339363606,0.3730307580692056,,-23.684570381948465,8.871038567201627,555,143,23
price_info,exp_2002Q1_2007Q3,3,-3.6210494347465407,18.095193440648064,-0.20011112048199559,0.8414492565838279,,-39.08762857841674,31.84552970892366,1082,325,23
price_info,exp_2002Q1_2007Q3,4,-27.47249746314426,7.7381076133509445,-3.5502863020080757,0.0003940527349846068,***,-42.63918838531211,-12.30580654097641,2729,779,23
price_info,exp_2002Q1_2007Q3,5,-12.700333051682628,4.849996824543904,-2.618627085983087,0.00885943948637613,***,-22.20632682778868,-3.194339275576576,5514,1192,23
price_info,exp_2002Q1_2007Q3,6,-5.585100089340663,2.1342522214089574,-2.6168884976741773,0.008896426520255352,***,-9.76823444330222,-1.4019657353791057,7319,1461,23
price_info,exp_2002Q1_2007Q3,7,-3.6359654800863446,2.2810865090032064,-1.5939621166209939,0.11098968053756453,,-8.10689503773263,0.8349640775599401,8425,1402,23
price_info,exp_2002Q1_2007Q3,8,-14.58532521142228,2.70908773650094,-5.383851181675164,7.530238765873776e-08,***,-19.895137174964123,-9.275513247880436,8152,1201,23
price_info,exp_2002Q1_2007Q3,9,-16.398931112857433,2.917327925387504,-5.621216240433165,1.977628349969507e-08,***,-22.11689384661694,-10.680968379097925,7182,872,23
price_info,exp_2002Q1_2007Q3,10,-14.035970133381449,3.763804854014456,-3.729197096499504,0.00019360475341101413,***,-21.413027647249784,-6.658912619513115,7608,567,23
price_info,exp_2009Q3_2019Q3,1,6.046391663443431,27.723025324853793,0.21809999423197216,0.8280241435199769,,-48.290737973270005,60.383521300156865,153,45,40
price_info,exp_2009Q3_2019Q3,2,-12.981239021341795,9.648469819172144,-1.3454194566217348,0.1788503083803299,,-31.892239866919198,5.929761824235607,1155,266,41
price_info,exp_2009Q3_2019Q3,3,-18.513775397711715,2.9543925132506454,-6.266525288930367,4.3647663261481284e-10,***,-24.30438472368298,-12.723166071740451,3148,712,41
price_info,exp_2009Q3_2019Q3,4,-18.053666681440077,1.9968678436462084,-9.040992241366727,0.0,***,-21.967527654986647,-14.139805707893508,6966,1270,41
