cycle,dep_var,rhs_var,coef,se,pval,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
exp_2009Q3_2019Q3,price_info,c_firm_size,-0.5862233270436457,0.03260954051051938,0.0,***,-0.6501380264442637,-0.5223086276430277,108345,5480,41
exp_2009Q3_2019Q3,price_info,c_dollar_vol,0.27809745603479485,0.017171323913548805,0.0,***,0.2444416611642392,0.3117532509053505,108345,5480,41
rec_2019Q4_2020Q2,amihud_illiq,ind_own,-0.05204678574779425,0.021506337527368944,0.015546970938378424,**,-0.09419920730143738,-0.009894364194151122,9403,3362,3
rec_2019Q4_2020Q2,amihud_illiq,c_firm_size,-0.010784495381036834,0.0037767703287867804,0.0043118337706977705,***,-0.018186965225458922,-0.0033820255366147443,9403,3362,3
rec_2019Q4_2020Q2,amihud_illiq,c_dollar_vol,-0.014779028307565799,0.0023724990856500575,5.000979630409574e-10,***,-0.01942912651543991,-0.010128930099691687,9403,3362,3
rec_2019Q4_2020Q2,volatility,ind_own,-0.6090040844823529,0.18526712119418362,0.0010178083268124194,***,-0.9721276420229528,-0.245880526941753,9377,3353,3
rec_2019Q4_2020Q2,volatility,c_firm_size,-0.17649485345237434,0.0736078028494117,0.01652532965343223,**,-0.3207661470372213,-0.032223559867527424,9377,3353,3
rec_2019Q4_2020Q2,volatility,c_dollar_vol,0.11405939223281993,0.018413487924878496,6.240052918826677e-10,***,0.07796895590005808,0.1501498285655818,9377,3353,3
rec_2019Q4_2020Q2,price_info,ind_own,-1.3344934160929063,1.7290465516137017,0.44025788927295073,,-4.723424657255761,2.0544378250699493,9391,3354,3
rec_2019Q4_2020Q2,price_info,c_firm_size,0.30875884606276793,0.25042011698060584,0.21763745707377935,,-0.18206458321921953,0.7995822753447555,9391,3354,3
rec_2019Q4_2020Q2,price_info,c_dollar_vol,0.26121351420247846,0.048530851855184604,7.626321418818804e-08,***,0.16609304456631663,0.3563339838386403,9391,3354,3
exp_2020Q3_2023Q4,amihud_illiq,ind_own,-0.010414098542227796,0.029738058655872365,0.7261945853516782,,-0.06870069350773764,0.04787249642328204,48115,4683,14
exp_2020Q3_2023Q4,amihud_illiq,c_firm_size,0.005250623149677204,0.0016258238294542052,0.0012409238252522048,***,0.002064008443946962,0.008437237855407446,48115,4683,14
exp_2020Q3_2023Q4,amihud_illiq,c_dollar_vol,-0.020011500175846863,0.0014432227317488352,0.0,***,-0.02284021673007458,-0.017182783621619145,48115,4683,14
exp_2020Q3_2023Q4,volatility,ind_own,-0.2624209626532961,0.06426535815534534,4.446185416906445e-05,***,-0.388381064637773,-0.13646086066881924,47952,4666,14
exp_2020Q3_2023Q4,volatility,c_firm_size,-0.12492685830846596,0.004862194584104372,0.0,***,-0.13445675969331053,-0.1153969569236214,47952,4666,14
exp_2020Q3_2023Q4,volatility,c_dollar_vol,0.10862146804024793,0.004631610640127486,0.0,***,0.09954351118559805,0.1176994248948978,47952,4666,14
exp_2020Q3_2023Q4,price_info,ind_own,-4.410855319907324,0.6464634273426823,9.029443859276398e-12,***,-5.677923637498981,-3.1437870023156673,48000,4675,14
exp_2020Q3_2023Q4,price_info,c_firm_size,-0.077983767249342,0.06711820748424965,0.24528780459389465,,-0.2095354539184713,0.05356791941978731,48000,4675,14
exp_2020Q3_2023Q4,price_info,c_dollar_vol,0.22133990464317774,0.022621326693351766,0.0,***,0.17700210432420826,0.2656777049621472,48000,4675,14
