dep_var,window_start_q,window_end_q,window_end_date,beta_ind_own,se_ind_own,pval_ind_own,ci95_lo,ci95_hi,nobs,entities,time_periods
amihud_illiq,2012Q4,2016Q3,2016-09-30 23:59:59.999999,0.027351574876130925,0.023519329396873536,0.2448610708047283,-0.018746310741741202,0.07344946049400305,41475,3580,16
amihud_illiq,2013Q1,2016Q4,2016-12-31 23:59:59.999999,0.003198016860175835,0.018456560673485604,0.8624380526649005,-0.032976842059855946,0.03937287578020762,41805,3605,16
amihud_illiq,2013Q2,2017Q1,2017-03-31 23:59:59.999999,-0.005812180486377411,0.015618395547873015,0.709793011618606,-0.03642423576020852,0.024799874787453696,42098,3592,16
amihud_illiq,2013Q3,2017Q2,2017-06-30 23:59:59.999999,-0.018255184524054925,0.015265529629787925,0.23176495936893438,-0.04817562259843926,0.011665253550329407,42349,3626,16
amihud_illiq,2013Q4,2017Q3,2017-09-30 23:59:59.999999,-0.014554697795675286,0.015423687106711177,0.3453498985644905,-0.04478512452482919,0.01567572893347862,42565,3612,16
amihud_illiq,2014Q1,2017Q4,2017-12-31 23:59:59.999999,-0.004822220709183381,0.01655859708113085,0.7708834081829532,-0.037277070988199844,0.027632629569833082,43175,4056,16
amihud_illiq,2014Q2,2018Q1,2018-03-31 23:59:59.999999,0.007298789854286777,0.017460723045543632,0.6759406846629337,-0.026924227314978743,0.04152180702355229,43822,4110,16
amihud_illiq,2014Q3,2018Q2,2018-06-30 23:59:59.999999,0.023046967428572696,0.017739081450219824,0.19387591345298372,-0.01172163221385816,0.05781556707100355,44488,4186,16
amihud_illiq,2014Q4,2018Q3,2018-09-30 23:59:59.999999,0.03820077938342638,0.017117226047358734,0.02563916145913736,0.004651016330603261,0.0717505424362495,45159,4214,16
amihud_illiq,2015Q1,2018Q4,2018-12-31 23:59:59.999999,0.027674816395093668,0.01993746347442026,0.16511980230288414,-0.011402612014770042,0.06675224480495738,45735,4230,16
amihud_illiq,2015Q2,2019Q1,2019-03-31 23:59:59.999999,0.02763431664331457,0.020755757197534103,0.18306305202556183,-0.013046967463852272,0.06831560075048142,46231,4241,16
amihud_illiq,2015Q3,2019Q2,2019-06-30 23:59:59.999999,0.02210027936091307,0.021129352303466725,0.29558934687472593,-0.01931325115388171,0.06351380987570784,46736,4279,16
amihud_illiq,2015Q4,2019Q3,2019-09-30 23:59:59.999999,0.010926284524898064,0.01981433379795562,0.5813395153099705,-0.02790980971909495,0.04976237876889108,47191,4291,16
amihud_illiq,2016Q1,2019Q4,2019-12-31 23:59:59.999999,0.0053508401836519165,0.019095482839722608,0.7793139180319497,-0.032076306182204396,0.04277798654950823,47664,4299,16
amihud_illiq,2016Q2,2020Q1,2020-03-31 23:59:59.999999,-0.02345030769052582,0.019470576774810348,0.22844260635046898,-0.061612638169154105,0.014712022788102463,48158,4309,16
amihud_illiq,2016Q3,2020Q2,2020-06-30 23:59:59.999999,-0.04320165799911737,0.025884646397269673,0.09512305115601682,-0.09393556493776592,0.007532248939531187,48598,4327,16
amihud_illiq,2016Q4,2020Q3,2020-09-30 23:59:59.999999,-0.059312004489449933,0.023577525795454444,0.01188592476446848,-0.10552395504854065,-0.013100053930359228,49110,4352,16
amihud_illiq,2017Q1,2020Q4,2020-12-31 23:59:59.999999,-0.05910678254988605,0.01947520929332895,0.0024069175825511824,-0.0972781927648108,-0.020935372334961302,49716,4424,16
amihud_illiq,2017Q2,2021Q1,2021-03-31 23:59:59.999999,-0.04444603514134301,0.02084862805907725,0.033024908364542416,-0.08530934613713442,-0.003582724145551594,50507,4502,16
amihud_illiq,2017Q3,2021Q2,2021-06-30 23:59:59.999999,-0.011998038178332577,0.02975372898954369,0.6867699476058777,-0.0703153469978382,0.046319270641173055,51368,4593,16
amihud_illiq,2017Q4,2021Q3,2021-09-30 23:59:59.999999,0.005068294862168125,0.027188520676902084,0.8521216596710652,-0.04822120566455996,0.058357795388896204,52283,4669,16
